feature_set,n_blocks,mask_mode,classifier,classifier_params,k_features,n_features,accuracy,macro_f1,balanced_accuracy
contrast+abcd_v2+melnv,3,raw,xgb,"n=150,d=2,lr=0.05",100,138,0.7133333333333334,0.7365242576517672,0.7489417989417989
all+contrast+melnv,3,raw,xgb,"n=150,d=2,lr=0.05",100,214,0.7266666666666667,0.7432210840291723,0.7488888888888888
all+contrast+abcd_v2+boundary,4,raw,xgb,"n=200,d=3,lr=0.05",100,182,0.7216666666666667,0.7443380386730759,0.7488359788359787
all+contrast+boundary+melnv,4,raw,lgbm,"n=200,lv=7,lr=0.05",100,232,0.7283333333333334,0.7432350900980268,0.7485714285714287
all+boundary+melnv,3,raw,xgb,"n=300,d=3,lr=0.03",100,198,0.725,0.7415530497628037,0.7484656084656085
contrast+abcd_v2+boundary+melnv,4,raw,xgb,"n=150,d=2,lr=0.05",100,156,0.7116666666666667,0.7326148303785919,0.7483068783068783
all+contrast+boundary,3,raw,xgb,"n=150,d=2,lr=0.05",100,155,0.725,0.7412043833554814,0.7482539682539683
all+boundary+melnv,3,raw,xgb,"n=150,d=2,lr=0.05",all,198,0.7266666666666667,0.7408724222948925,0.747936507936508
all+contrast+abcd_v2+melnv,4,raw,lgbm,"n=300,lv=15,lr=0.05",100,241,0.73,0.7461699256340507,0.7477777777777778
all+melnv,2,raw,xgb,"n=300,d=3,lr=0.03",100,180,0.7166666666666667,0.7363542519776208,0.7471428571428572
all+contrast+abcd_v2+melnv,4,raw,lgbm,"n=300,lv=7,lr=0.03",all,241,0.7233333333333334,0.7407991364604717,0.7468783068783069
abcd_v2+melnv,2,raw,xgb,"n=200,d=3,lr=0.05",100,104,0.7133333333333334,0.7345259727788647,0.7468253968253968
all+contrast+abcd_v2+boundary,4,raw,xgb,"n=150,d=2,lr=0.05",all,182,0.7133333333333334,0.7336869840371537,0.7468253968253968
contrast+abcd_v2+boundary+melnv,4,raw,xgb,"n=300,d=3,lr=0.03",100,156,0.7133333333333334,0.7355032378506556,0.7465608465608465
abcd_v2+boundary+melnv,3,raw,xgb,"n=150,d=2,lr=0.05",all,122,0.7033333333333334,0.7306936158805121,0.7462962962962963
all+melnv,2,raw,xgb,"n=300,d=3,lr=0.03",all,180,0.725,0.7393479081651124,0.7458730158730159
all+contrast,2,raw,xgb,"n=300,d=3,lr=0.03",all,137,0.7366666666666667,0.7481984385945405,0.7458730158730159
all+contrast+abcd_v2+boundary,4,raw,lgbm,"n=300,lv=7,lr=0.03",all,182,0.7266666666666667,0.7426005425168062,0.7455555555555556
all+contrast+abcd_v2+melnv,4,raw,lgbm,"n=300,lv=7,lr=0.03",100,241,0.7166666666666667,0.7414790638499204,0.7452380952380953
all+boundary+melnv,3,raw,xgb,"n=300,d=3,lr=0.03",all,198,0.7233333333333334,0.7380952288658378,0.7447619047619048
all+contrast+boundary+melnv,4,raw,lgbm,"n=300,lv=7,lr=0.03",100,232,0.7183333333333334,0.7349024235145903,0.7442328042328042
contrast+boundary+melnv,3,raw,xgb,"n=150,d=2,lr=0.05",all,129,0.725,0.7400344892981736,0.7442328042328041
all+contrast,2,raw,xgb,"n=200,d=3,lr=0.05",all,137,0.7316666666666667,0.7441489199223904,0.7441798941798942
all+melnv,2,raw,xgb,"n=150,d=2,lr=0.05",all,180,0.7216666666666667,0.737840832295506,0.7441269841269841
all+contrast+abcd_v2+boundary,4,raw,lgbm,"n=300,lv=15,lr=0.05",all,182,0.7233333333333334,0.7416916156136374,0.7440211640211641
all+abcd_v2+boundary,3,raw,xgb,"n=300,d=3,lr=0.03",all,148,0.72,0.7383824855961617,0.7439682539682541
contrast+abcd_v2+melnv,3,raw,xgb,"n=200,d=3,lr=0.05",all,138,0.715,0.7354408066422087,0.7429629629629629
all+boundary+melnv,3,raw,lgbm,"n=300,lv=7,lr=0.03",100,198,0.7216666666666667,0.7381471960716194,0.7424338624338626
all+abcd_v2+melnv,3,raw,xgb,"n=200,d=3,lr=0.05",all,207,0.7116666666666667,0.7354815570126036,0.7421693121693121
abcd_v2+boundary,2,raw,xgb,"n=150,d=2,lr=0.05",100,45,0.695,0.7116495364063335,0.7421164021164021
abcd_v2+boundary,2,raw,xgb,"n=150,d=2,lr=0.05",all,45,0.695,0.7116495364063335,0.7421164021164021
all+contrast+boundary+melnv,4,raw,lgbm,"n=300,lv=15,lr=0.05",100,232,0.72,0.7374363276802302,0.7417989417989418
all+contrast,2,raw,lgbm,"n=200,lv=7,lr=0.05",100,137,0.7216666666666667,0.7408621366133296,0.7417460317460317
all+contrast+boundary,3,raw,lgbm,"n=200,lv=7,lr=0.05",all,155,0.73,0.7441541204682265,0.7414285714285714
contrast+abcd_v2+boundary,3,raw,lgbm,"n=300,lv=15,lr=0.05",100,79,0.7066666666666667,0.7340267516899108,0.7408994708994708
contrast+abcd_v2+boundary,3,raw,lgbm,"n=300,lv=15,lr=0.05",all,79,0.7066666666666667,0.7340267516899108,0.7408994708994708
all+abcd_v2,2,raw,xgb,"n=150,d=2,lr=0.05",all,130,0.7033333333333334,0.7213918660213369,0.7408465608465608
all+contrast+boundary,3,raw,lgbm,"n=300,lv=15,lr=0.05",100,155,0.7233333333333334,0.7411233202492733,0.7407407407407408
all+contrast+melnv,3,raw,xgb,"n=200,d=3,lr=0.05",100,214,0.7216666666666667,0.7381201715468073,0.7405820105820107
all+contrast+boundary+melnv,4,raw,lgbm,"n=300,lv=7,lr=0.03",all,232,0.7166666666666667,0.7304996271439225,0.7405291005291006
all+contrast+boundary+melnv,4,raw,xgb,"n=300,d=3,lr=0.03",100,232,0.725,0.7391856874090377,0.7404761904761905
all+contrast,2,raw,lgbm,"n=300,lv=15,lr=0.05",100,137,0.725,0.7435103715746484,0.7404232804232804
all+contrast+abcd_v2,3,raw,lgbm,"n=300,lv=15,lr=0.05",100,164,0.715,0.7364745925830034,0.7398941798941799
all+contrast,2,raw,lgbm,"n=200,lv=7,lr=0.05",all,137,0.7233333333333334,0.7405207187385404,0.7397883597883599
abcd_v2,1,raw,xgb,"n=150,d=2,lr=0.05",100,27,0.6866666666666666,0.7030041251372467,0.7394179894179894
abcd_v2,1,raw,xgb,"n=150,d=2,lr=0.05",all,27,0.6866666666666666,0.7030041251372467,0.7394179894179894
contrast+abcd_v2+melnv,3,raw,lgbm,"n=300,lv=15,lr=0.05",all,138,0.7133333333333334,0.7310252532199849,0.7392592592592592
all+contrast+boundary,3,raw,lgbm,"n=200,lv=7,lr=0.05",100,155,0.7216666666666667,0.7377204063066429,0.7391534391534392
all+boundary+melnv,3,raw,xgb,"n=150,d=2,lr=0.05",100,198,0.7116666666666667,0.7304167304068568,0.7391005291005291
all+abcd_v2+boundary,3,raw,xgb,"n=200,d=3,lr=0.05",all,148,0.7216666666666667,0.7395019438572293,0.7389417989417989
all+contrast,2,raw,lgbm,"n=300,lv=7,lr=0.03",all,137,0.72,0.738642248744012,0.7387301587301588
all+contrast+boundary+melnv,4,raw,xgb,"n=300,d=3,lr=0.03",all,232,0.7233333333333334,0.7359373225978748,0.7386243386243386
all+contrast+boundary+melnv,4,raw,xgb,"n=150,d=2,lr=0.05",100,232,0.7183333333333334,0.7353650334005074,0.7381481481481481
